node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,node-26,node-27,node-28,node-29,node-30,node-31,node-32,node-33,node-34,node-35,node-36,node-37,node-38,node-39,node-40,node-41,node-42,node-43,node-44,node-45,node-46,node-47,node-48,node-49,node-50,
2335079,,2291517,2298974,2296745,2390436,2460254,2449597,2410264,2480321,2450211,2373701,2494635,,,2563829,2479512,2594866,2710089,,2676304,2680873,2767663,2810052,2855406,2866431,2805747,2839320,2881553,2902994,2863681,2914806,2923021,2998095,2974285,3010545,3115656,2967435,2965312,3068728,2947640,3056393,3141410,3107415,3091875,3212302,3254640,3161738,3183275,3200806,
2209986,2156154,2156399,2275617,2257252,2296375,2250503,2313658,2284058,2342730,2337712,2288868,2334075,2315883,2376224,2382200,2418122,2439534,2536632,2515121,2484865,2582337,2585298,2576012,2582380,2664507,2617455,2625312,2754112,2745701,2731431,2676757,2742911,2777129,2898594,2846443,2884216,2841402,2899385,2807529,3037475,2834974,2949097,2972296,2990059,3088132,3058110,3074025,3092761,3115158,
2229193,2277124,2222057,2275034,2282235,2117690,2264854,2357423,2286425,2288754,2356428,2340212,2441520,2402136,2326528,2436287,2437537,2547087,2503907,2564182,2576401,2636218,2547878,2521773,2738762,2655783,2668437,2787608,2740126,2714391,2703277,2701582,2768957,2812382,2808692,2832001,2935194,2823787,2788128,2756662,2891317,2914687,2939276,3015497,3024753,3001586,3065712,2950542,3019164,3106946,
2235836,2182181,2217934,2257395,2242503,2252503,2195061,2244818,2307747,2326317,2389371,2378354,2385734,2391546,2357633,2512330,2465027,2392378,2514938,2614786,2578944,2589455,2659469,2573623,2719144,2614863,2633446,2684446,2732547,2744274,2745953,2821479,2781471,2817523,2766492,2923591,2933927,2779752,2824491,2936408,2884852,2829134,2982312,2975935,2993398,3097944,3047378,3106103,3145579,3125110,
2254444,2206756,2211127,2119651,2249743,2268075,2268008,2288470,2261243,2340408,2349827,2356794,2478596,2387465,2393037,2430226,2441857,2505011,2469246,2527045,2543861,2591886,2559854,2512690,2660324,2643719,2540801,2694224,2696666,2696736,2691040,2633939,2700122,2805183,2775349,2860756,2937808,2885052,2819627,2903096,2895248,3072813,2933533,3075040,2996980,3028854,2967311,3035762,3000612,3119595,
2184795,2128854,2172128,2224527,2271497,2225048,2311514,2343988,2375307,2376046,2375470,2332757,2406712,2418885,2512558,2496815,2394811,2417057,2568134,2505500,2535641,2609107,2621374,2578136,2696446,2585175,2780330,2656388,2645715,2753780,2716876,2765134,2767125,2851204,2791573,2893714,2920839,2890345,2857405,2795432,2942105,2853450,2954803,3063757,3005102,3044800,3011845,3128764,3025629,3132884,
2215400,2208109,2150051,2182387,2244510,2163191,2235441,2293573,2268302,2327916,2347683,2381584,2504438,2403100,2333285,2424138,2478567,2522375,2471840,2521605,2559202,2562292,2569956,2539633,2644528,2633956,2616071,2674185,2716002,2620076,2640232,2670128,2853898,2877406,2754281,2758381,2893080,2926008,2862436,2799293,2875219,2883099,2970595,2996746,3001564,3055495,3006572,3057093,3056800,3068256,
2104112,2209927,2106680,2262310,2296756,2254623,2219320,2331162,2336885,2299635,2313233,2356320,2416765,2401351,2345782,2458673,2475394,2421102,2573949,2544713,2575696,2588905,2498048,2566092,2742740,2619995,2544744,2599774,2731473,2750031,2677034,2673363,2702847,2801538,2790492,2899737,2923108,2883945,2865098,2882822,2807430,2912255,2847173,2977991,3026706,3085067,3027499,3048113,3033408,3106544,
2147217,2089006,2191436,2191733,2196995,2177990,2295971,2335695,2315409,2305498,2283224,2371389,2454727,2364848,2323303,2480614,2405405,2462508,2486634,2509781,2571924,2552270,2599786,2543470,2703602,2667307,2634083,2681872,2704073,2642380,2680131,2763028,2783531,2864645,2840775,2810174,2920477,2838394,2837180,2889393,2975135,2855932,2945801,2849977,2966025,3066048,3018846,3110670,3198213,3081298,
2165631,2152802,2141311,2155206,2271812,2263222,2232682,2303455,2335044,2237205,2302296,2412274,2401338,2407753,2375140,2498779,2487332,2491210,2512844,2553137,2520778,2522858,2478396,2611267,2688511,2665652,2618813,2679964,2642407,2707940,2642265,2631487,2706511,2816071,2781616,2927609,2801277,2841196,2837688,2865407,2939122,2920944,2949839,3035486,2907262,3088363,3042278,2939876,3029529,3066403,
