node-1,node-2,gadget
11519,13232,24757
13616,15036,28658
14929,14579,29514
11229,13540,24775
12149,14788,26943
12356,13889,26202
11767,14135,25908
13271,13238,26515
13951,13749,27706
12838,13887,26731
12111,12921,25038
13217,11789,25012
12318,11609,23933
13348,13634,26988
11726,12767,24499
12314,12045,24365
10165,12402,22573
12111,11860,23977
12291,14323,26620
11508,12070,23584
13041,12995,25990
12737,12043,24786
11664,11972,23642
12515,12953,25474
12110,13355,25471
12128,13680,25814
13548,12518,26072
11208,12167,23381
13383,12507,25896
12530,13174,25710
