node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,gadget
13215,11292,12684,13723,14407,12698,13535,14026,13862,14165,12155,14244,13527,12616,13242,12437,14085,12546,,15496,12490,13508,,13230,12836,262703
14737,12526,11751,12632,12994,12073,13903,12827,12139,12845,13288,11761,13465,13767,12094,13227,13980,13096,13032,12868,12265,14320,14882,11518,13936,139644
12505,12450,12963,12349,11772,12768,12714,14118,13604,12530,12787,12202,14085,13365,13202,12303,12194,12128,12327,14887,12812,13684,13783,13384,12139,130421
12880,11417,12121,11690,13100,12997,12799,12971,13091,13734,12237,13600,11980,11628,11372,12849,13420,12779,12711,14306,13231,14492,13734,13884,13258,120624
12794,12313,12915,12794,12218,12272,13936,12771,13246,12978,12225,13882,12431,13610,13696,12587,13591,11870,13195,13069,13159,13211,13511,13422,13422,120013
12918,15139,12624,12549,12220,13022,12551,13079,12070,13122,13503,12596,13362,12482,12842,14319,13890,13458,14079,13266,14385,13082,14092,12884,14431,198069
12087,13155,12754,9969,13341,13618,12811,13351,12777,13530,13555,12172,13328,13129,13141,12393,13338,13862,13227,12975,12272,13657,12343,14373,13510,156958
13939,13018,12461,10751,13351,12929,13462,11874,12234,11827,12908,12051,11552,13210,12758,12363,13514,12765,13742,13536,12293,12919,13883,13478,12295,150073
12505,14243,13192,13284,11731,13088,12909,11977,12595,12397,13992,12801,13535,13590,13515,11546,12198,13707,13438,13799,12733,13221,12733,12760,13236,127053
12688,13721,11364,13366,12132,13327,12153,12590,13111,14182,13291,12262,11817,13209,13021,13353,12579,15278,13662,13326,13392,12194,12291,11822,13724,129672
12249,12734,13356,13049,12815,12222,12500,12318,11999,13120,13001,12453,12516,15562,13126,13694,11944,12236,12715,12530,13593,12050,12891,11988,12093,148822
12068,12445,13162,12940,12606,12528,12830,12074,12743,12979,13282,13740,11980,14220,13547,13482,13317,13411,13133,12300,12486,12003,13206,12897,12116,184490
13329,12991,12914,12754,13954,14135,10964,13588,12700,13184,14315,13474,12450,12234,12976,12939,11879,13642,13024,12716,11930,12075,12766,11203,12216,156421
11880,12518,14597,13160,12315,12880,13590,13548,13686,13501,11768,12869,12421,13440,11985,13815,12308,13128,11706,13738,12591,13423,13129,14311,13088,125723
11953,13423,12421,12573,12601,12328,13263,12309,12712,15726,12138,12996,12102,14770,13346,12818,13311,14162,13323,12514,12691,13349,13807,12789,13502,130333
11955,10885,12825,12943,12393,14629,13950,13815,13066,12244,12646,12284,12250,12773,12764,12206,13311,12794,12406,14497,12774,12583,11764,14278,13925,127621
13640,12870,12269,12396,12284,13459,12905,12730,13015,14106,13565,12588,13337,11568,12224,12158,11962,12167,13269,13745,13105,12549,13628,13511,11957,132437
11191,12691,12131,13487,13446,12725,15166,12571,13087,13730,12293,13213,12849,12608,12989,12427,14247,13778,12350,13914,13168,12691,14020,12304,13671,156381
11968,11933,12586,13158,13047,12548,12246,12629,11615,12166,13781,12827,12135,12903,12708,13126,12825,12576,12921,13103,14068,13521,14044,11458,12406,143256
12413,12255,13993,13410,12340,12093,12310,12387,12237,14817,14332,12821,12480,12159,13054,13383,13629,13357,13300,13297,13697,13061,12691,13413,12486,130339
12726,11581,12430,13240,11961,13138,14643,12992,12849,13315,13743,13219,11947,12438,12108,12485,12437,12990,12954,12893,11799,12635,12405,13144,12732,176137
11246,12976,12045,11890,11962,11495,12224,13050,13087,12269,12502,12907,12657,13725,13113,12602,12038,12940,12005,12552,13383,12398,11833,11936,11203,147622
12848,11369,13566,13542,13035,12161,12587,12879,12355,12827,13563,13294,11931,13355,12066,14291,12484,12537,13663,12226,12247,12195,13422,13717,12995,128680
13013,12058,12287,13283,12675,12983,13431,12087,12230,12374,14725,12494,13452,12973,13163,13665,12134,12600,13203,12059,13029,12785,13144,13198,12901,124992
11093,12582,14520,12646,11744,12164,10540,12415,12797,11195,12814,12116,12073,12574,13215,13972,12929,11535,13771,12545,11900,11762,12794,13381,13409,140087
11774,11923,13017,14821,12047,14265,12157,11617,12253,14084,13085,12733,13294,12320,12434,13568,11913,12011,12596,13859,13101,12223,11710,14021,13030,133151
12574,11159,12566,13745,13984,12283,11838,13620,12312,12287,14383,13206,12639,11810,14306,12522,13090,13137,13808,14241,13237,13712,12375,14864,13408,157222
14167,12838,12015,14452,13021,15018,12716,13239,12249,14075,12334,12145,12660,13883,12932,12502,12122,13935,12072,12874,13485,13696,12321,12979,12202,139777
13029,11957,13821,10142,14534,13900,13054,13002,12821,13485,13433,12480,12140,12694,13175,14166,12277,13387,13436,13155,13281,13302,12960,12470,13127,155997
12610,13927,12023,12482,12955,9200,11627,13584,12494,13353,12728,12658,12780,13678,13364,12389,13229,13903,12315,12894,12866,13044,12319,11753,12613,120419
