node-1,node-2,
126119936,101928960,
129003520,101535744,
100765696,134766592,
118697984,100876288,
121937920,130863104,
107986944,101904384,
127016960,96239616,
135512064,134074368,
129220608,101765120,
109924352,101728256,
97218560,102318080,
123768832,102117376,
117506048,134111232,
106184704,134209536,
133439488,102932480,
101625856,118558720,
125755392,96296960,
110231552,117850112,
126664704,103501824,
99684352,134057984,
101048320,136437760,
108888064,137846784,
135487488,136740864,
100331520,103632896,
134283264,123150336,
118009856,137207808,
128479232,134725632,
117366784,101085184,
131239936,94142464,
125952000,134938624,
