node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,
1664654,1602036,1377512,1299862,1623720,1357090,1423848,1500447,1721125,1706886,1521291,1470043,
1531563,1400699,1513654,1488776,1604483,1459188,1613593,1544333,1640001,1650080,1646713,1583290,
1445901,1510208,1494242,1558653,1576802,1541105,1719345,1679280,1574959,1772650,1795069,1636995,
1411396,1427704,1509135,1531309,1414590,1484241,1591868,1622745,1678651,1584901,1685442,1620542,
1403007,1540558,1503783,1530517,1503068,1558327,1631451,1651076,1520180,1579359,1670190,1564081,
1543781,1526921,1590110,1610827,1521545,1471669,1496778,1680635,1692076,1649510,1573253,1622443,
1473284,1438468,1503323,1415923,1483511,1552388,1506239,1597770,1457616,1678932,1651661,1703155,
1491395,1502736,1488424,1469777,1486852,1547825,1567188,1550744,1603899,1601704,1579353,1631980,
1488072,1306441,1506529,1513702,1572700,1605839,1476723,1549287,1562754,1673007,1654103,1661704,
1449892,1456236,1556867,1412522,1525324,1497831,1515453,1608637,1686793,1662929,1645186,1665015,
1564464,1440245,1567687,1625835,1536591,1491926,1640027,1712558,1548512,1777280,1688007,1649618,
1468250,1506441,1521108,1474025,1497574,1567803,1562208,1644552,1572689,1610594,1721690,1638536,
1382536,1390812,1520580,1551659,1481210,1483548,1567521,1574761,1590714,1615498,1647103,1654606,
1443742,1413046,1484324,1560102,1487798,1572501,1557143,1696798,1585869,1713512,1697777,1630906,
1472289,1519557,1505781,1469375,1491451,1556604,1600682,1599867,1531502,1718641,1652986,1604495,
1576411,1307418,1475746,1654717,1550297,1610620,1634253,1671183,1675239,1675482,1753327,1746800,
1432890,1484188,1433488,1420152,1540843,1491954,1594467,1551023,1606376,1599273,1640453,1678568,
1486734,1380724,1435222,1502708,1515594,1473757,1610134,1651468,1619980,1589069,1679148,1661885,
1542410,1443103,1427382,1519065,1557679,1579089,1561877,1554455,1612332,1697056,1545827,1638591,
1505250,1489799,1400946,1434643,1511103,1561675,1481939,1514996,1548022,1716048,1671524,1599914,
1386424,1401561,1558477,1415532,1500711,1516615,1511174,1548196,1684532,1627741,1683602,1669883,
1469310,1414141,1519313,1538269,1415477,1537181,1511064,1520049,1596752,1594058,1638325,1659393,
1517307,1530304,1374254,1537816,1527892,1560354,1580931,1694909,1605640,1702667,1595465,1533149,
1492308,1523168,1487963,1498091,1631940,1606253,1607996,1610383,1705647,1637402,1676413,1843749,
1478826,1508782,1494122,1465382,1508087,1543376,1574970,1600937,1460473,1695596,1650621,1656777,
1467700,1282575,1519150,1517623,1447214,1398993,1537568,1680334,1549809,1599321,1664935,1674402,
1442163,1384567,1564750,1435937,1484405,1569801,1529013,1584324,1597059,1704940,1626895,1582046,
1471686,1430406,1477133,1446347,1450830,1540096,1556361,1646806,1441917,1611058,1684731,1671323,
1473815,1463887,1553299,1482930,1527532,1584595,1556355,1606164,1593031,1644587,1597298,1621673,
1489046,1366374,1554448,1472936,1502812,1619413,1553760,1541443,1496182,1691165,1648553,1627806,
