node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,node-26,node-27,node-28,node-29,node-30,node-31,node-32,node-33,node-34,node-35,node-36,node-37,
720750,707031,747776,736674,802351,751891,786810,771226,777327,773486,851077,868491,870749,930562,949820,926414,938793,906983,923523,1042017,989311,1003774,1015199,1076836,1062580,1093278,1059744,1052098,1026747,1091076,1080962,1137973,1200327,1150880,1134379,1130003,1262605,
648084,639301,674353,712432,727104,679021,725146,814104,782701,838039,728676,817457,860219,859915,903612,836903,835341,959769,944844,921626,931607,918050,914204,988941,,,991382,1041889,1109835,1068240,1110740,1084825,1080914,1184924,1145048,1123421,1174832,
648930,598690,660824,676582,735576,777329,787751,775475,761776,752013,785756,822303,847711,879361,850663,842852,839815,924405,939532,940275,918606,926194,953514,1052472,997317,998377,1019947,1036563,1041541,1089543,1104202,1107893,1137788,1130998,1148667,1129981,1183007,
616814,677510,747011,731168,684783,679628,688008,821633,783467,816394,820033,772099,880925,846059,919513,861334,865254,872420,948458,943124,940160,894591,952374,1032823,1027660,980432,988675,1068560,1053101,1054304,1112454,1084920,1217656,1140414,1155871,1182330,1185574,
631271,682010,737556,691397,740409,676310,796191,759191,775171,747582,769906,818091,846613,851566,834033,801662,830080,973460,899460,925553,931004,980317,895998,1024145,1009707,985745,977459,1047017,1072519,1098566,1094405,1065428,1180742,1220148,1197408,1151832,1167062,
656776,656847,688253,685810,704765,692727,705026,840693,799809,771774,783857,745887,765042,800176,893557,841899,831304,973638,899218,936820,913603,921139,914057,1075483,1062317,992276,1055578,995172,1075139,1135499,1122602,1066946,1136508,1124248,1165216,1163329,1170172,
634288,627198,735373,704088,681392,702750,695695,749910,745949,778594,782105,810240,733660,835210,863448,853813,824621,880150,908535,939473,931762,911236,1014595,1023214,1012912,1008268,986109,1088020,1043547,1087300,1057388,1124925,1175131,1166661,1150026,1150698,1146762,
665842,723979,753695,748744,671300,705489,769578,724968,751492,795615,743173,749702,865573,840541,889498,865577,851109,983073,929491,908884,930713,981030,1037612,1030226,1019636,1029599,999150,1070123,1078008,1013704,1088120,1065374,1224528,1191765,1117309,1172075,1201009,
643128,648561,746409,663962,685650,688835,659782,793269,769770,787583,794156,806816,880277,877647,849000,889599,876670,991953,932398,937203,907165,933782,922043,1056528,1009711,1047006,1032546,1020297,1051920,1076065,1102003,1100585,1092897,1130733,1193030,1132552,1158150,
624691,716248,657877,665443,675344,712996,735410,796563,765456,795235,777241,762662,905450,839731,874232,862064,832047,956668,929947,940004,931561,910710,1020133,984665,985749,1048576,1013013,1008795,1103239,1100416,1045465,1095296,1131331,1184134,1129313,1120253,1179013,
633428,734550,720715,724698,696496,644920,774315,786569,765480,805808,763430,763709,851986,842323,843431,835371,929647,941436,959628,911916,960026,980078,1045438,1056982,988056,996323,1087967,1047902,1100235,1068076,1076042,1124379,1186204,1202653,1214501,1140480,1208056,
620649,740853,676295,724363,668899,654220,771465,760357,754351,760061,755724,818314,842767,822122,864108,853069,833547,909311,955207,938043,931898,927107,985848,1035892,1040101,972809,1056367,1007900,1039067,1100990,1068060,1076362,1141720,1138104,1177700,1158878,1192805,
665945,627264,653420,744286,702579,671401,698503,808779,720190,796612,827068,816394,733844,807436,876465,867543,891022,963006,944251,918019,903427,919603,899777,1040916,981218,1018855,1024225,1051086,1065929,1069036,1122647,1116847,1110410,1145585,1139402,1124883,1152915,
641128,678933,733022,695728,711250,702416,685812,818240,789268,799939,752596,798083,828043,822281,893041,864919,863127,955713,905297,901275,959937,908444,1018660,1058844,1029277,999286,1009995,1080660,1102320,1063465,1122850,1104824,1188202,1206649,1124968,1131175,1187281,
626133,701108,727520,724345,679187,733134,817674,812728,762869,795128,768602,743267,844049,811206,886771,853942,884606,974724,891000,953139,957394,971882,1003927,1034149,1028777,986913,1035247,1073476,1115933,1125770,1091905,1063859,1109195,1129906,1160223,1199450,1124486,
698463,666616,685832,682625,688864,688738,748554,749421,730186,790400,797934,749344,881209,838168,839093,824649,841283,970106,959695,955641,906985,1036151,1054259,1013157,1059155,992159,1114128,1090531,1075753,1092179,1091703,1076783,1153963,1202874,1163020,1201538,1155930,
623267,631340,671332,668837,709668,669993,748968,771384,758448,788590,772267,833567,880422,864916,842490,890217,930208,939059,896670,923097,945128,905648,991368,1000091,991972,1066193,1016516,1052237,1073650,1083007,1082179,1071980,1186805,1191554,1177416,1206599,1157558,
618697,618747,729521,697245,677428,688182,683348,721184,764981,800118,781341,769522,820206,851056,894364,851449,859906,839903,938313,919923,912415,943992,941073,1056408,1044556,1003262,1031018,984966,1052279,1081754,1138628,1078919,1087886,1188687,1123055,1193729,1179453,
648595,640222,695361,684013,721182,733385,810796,694143,736845,830749,784271,845467,835298,827940,889810,858143,913433,862892,917645,959241,964557,1034859,982623,1034846,975664,1019555,1043280,1102190,1110633,1148236,1056703,1129013,1184902,1134947,1118639,1172727,1254954,
665298,645368,639600,707375,703151,700776,697165,778375,790991,738058,758022,793231,799854,886978,863429,846192,850669,973050,974484,969734,916114,968019,982466,1040368,982467,1021134,1032412,985284,1069191,1088866,1096451,1067561,1118996,1182030,1134016,1151733,1140596,
622949,705040,714601,679829,722540,713454,676684,774366,739883,795695,774003,753670,820812,874088,834087,833415,858074,942038,889477,995628,933309,900723,1055430,1056646,974116,998490,981659,1061382,1106406,1080575,1132926,1080342,1172849,1179114,1147454,1145484,1194971,
668969,706307,628662,668787,671898,652877,709090,807636,755211,792442,799123,794505,737932,827070,876837,855299,838654,939964,928735,912106,891613,951165,1056578,1038406,1023047,1034949,1002389,975176,1067516,1082890,1118664,1042364,1196021,1186701,1185605,1136454,1147621,
648732,691430,669138,722156,661554,665573,768818,746507,758867,801522,794990,823764,882731,839116,837927,828710,915376,946187,947699,922765,942588,915770,924109,1040682,998774,1027540,1023160,1082821,1121536,1116131,1118694,1103695,1152621,1140066,1127957,1174982,1200952,
