node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,node-26,node-27,node-28,node-29,node-30,node-31,node-32,node-33,node-34,node-35,node-36,node-37,node-38,node-39,node-40,node-41,node-42,node-43,node-44,node-45,node-46,node-47,node-48,node-49,node-50,
675000,726054,760995,761173,820294,768500,754284,882031,826961,909279,927501,847587,909074,936622,987401,902779,913895,965233,935111,1023271,1030283,1026911,1138282,1109053,1073479,1093662,1092619,1126057,1142195,1176139,1130771,1123996,1243175,1280490,1255310,1227109,1262610,1295075,1249491,1363797,1287112,1351042,1307871,1392274,1455986,1417154,1267029,1440504,1407424,1465479,
607378,599942,735055,682493,686156,710716,710079,831107,795985,785708,778442,844045,876950,852078,894500,806441,876051,909656,909311,998913,921853,922238,1024167,1061628,1031538,1047470,1062894,1084285,977743,1112233,1070620,1155979,1176635,1140301,1125996,1163732,1193191,1288402,1135872,1295147,1272599,1260838,1337752,1323183,1314352,1360683,1337739,1299502,1379886,1459393,
628196,605599,631876,711129,689137,709495,729807,665194,764176,801426,819784,831201,840970,865960,905902,842004,819718,928340,937767,953109,892565,985992,1014901,1003327,1018417,1010324,1038209,983311,1119211,1087867,1074318,1059214,1105786,1196615,1147419,1145779,1130915,1169993,1256350,1219180,1260892,1255688,1224142,1261174,1327889,1289204,1291987,1390397,1410410,1443286,
635423,606378,663942,678417,738768,705258,770178,782386,785742,830280,760146,899432,823824,830959,870908,870612,888795,931429,912144,899744,912008,939154,1014688,1051649,1040098,1001160,990010,995124,1116135,1066143,1085670,1081960,1132718,1142687,1189729,,,,1256253,1266600,1278406,,1347975,1332714,1355391,1316568,1301884,1376013,1448511,1470948,
711040,713521,690262,715554,782783,717518,806716,777887,738567,813736,877611,895876,886899,844861,852386,898695,912639,947958,931116,929826,991655,1031319,998106,1091662,984786,1076535,1077768,1072445,1099359,1134381,1119586,1203564,1189687,1193156,1157466,1252645,1188921,1201026,1224642,1247796,1258413,1324422,1331173,1321391,1308137,1479982,1417915,1413208,1424220,1399071,
651799,702265,678011,660859,741284,697580,683966,733484,800695,768648,734423,870685,791854,878228,898213,847318,875968,926237,958875,905682,934268,1038476,1000116,978856,1034324,997388,1030974,1041009,1090707,1100747,1073333,1075659,1140366,1198507,1144701,1128638,1183531,1178196,1220258,1249428,1271481,1248226,1337377,1295175,1368732,1336586,1364849,1363661,1384575,1420759,
628700,605843,731098,697497,697808,709449,779691,792642,776269,785362,745176,787653,824196,844330,844769,888591,908007,936429,966385,925208,913810,943965,987562,1062392,1038533,1033366,1032558,1068576,1133359,1070446,1093262,1110400,1081606,1156451,1137587,1177047,1173456,1269685,1214721,1272709,1248505,1221980,1366341,1309684,1370926,1329708,1371433,1422300,1426478,1476603,
662457,607067,711741,720919,717148,685096,669968,808143,713998,791068,794157,779668,831838,819446,870186,853574,834053,873139,927193,927851,934799,919134,953000,986919,1038525,1022503,1023953,1059158,1065921,1070213,1159328,1117612,1118954,1128782,1138135,1172148,1140534,1253659,1249241,1212378,1249300,1216526,1264526,1329021,1336040,1317381,1323501,1342474,1428272,1361257,
651362,581105,650521,711953,678369,698940,701920,782823,792117,771560,777836,853683,815761,839093,861619,832591,950910,926786,905923,928641,921008,1026380,1033753,979298,983331,984192,1027176,1073933,1078224,1087451,1087730,1158010,1180336,1145296,1189891,1201074,1203727,1268697,1233691,1221882,1256215,1241679,1254539,1368351,1324859,1312104,1317561,1272154,1416630,1382123,
628171,646129,688804,737300,692931,714599,679910,771767,788086,805798,730290,882283,836965,844744,852541,866174,922162,953197,895692,963717,891537,1027270,1037866,985395,1025987,1005609,988235,1107721,1071290,1097829,1079677,1093445,1191153,1154438,1137020,1196757,1165680,1210983,1217712,1280233,1286698,1208845,1274632,1365535,1325074,1285824,1308898,1288017,1432124,1454219,
