node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,gadget
12189,12310,,,13017,,,,12661,12098,,,62290
12579,11880,13880,14839,14794,13258,13884,13986,11776,12391,12691,13758,159752
10710,12113,13662,12278,11582,14002,14830,13202,12231,13396,13260,12099,153401
11419,12133,13978,14521,12560,13017,13128,13152,13661,13350,12263,12580,155798
10874,12070,13404,12835,13383,12632,13181,11831,12496,14169,14331,13484,154726
11907,12159,14761,13702,12159,12903,14629,12398,13631,14768,14285,14575,161912
12480,12711,11994,12465,13074,14871,13148,13453,11681,12228,12321,12494,152956
13722,12970,14232,13482,12541,12415,14212,13729,12200,11865,13903,12336,157643
13456,11919,12284,12027,13964,14905,13569,12689,13256,14063,12486,12937,157591
12181,10561,12215,12663,11810,12382,12882,11635,12223,13095,12544,13351,147578
12835,13606,12401,14739,12690,12042,13301,14053,12758,13626,12035,12690,156812
13066,12833,13017,12627,14108,13387,13161,11911,12779,12778,14557,12444,156704
13806,10905,13528,12507,13060,14220,14244,12242,13929,14423,13953,13213,160066
13678,12311,12797,12862,12678,12688,14303,14548,12760,12091,14143,12330,157225
13542,13055,11996,12794,12524,14289,11794,12310,12978,13629,12871,11903,153721
12124,11457,12265,13156,12599,12528,13020,13548,13964,13662,13288,13194,154841
12385,11508,14142,13912,14470,13554,12902,12570,12945,11677,12782,12159,155042
12853,12056,12910,12019,14339,12649,12578,12237,11905,13133,12902,11859,151476
12726,11712,12549,13041,14356,13271,13845,11185,14385,13705,12089,12768,155668
13857,11494,11994,14653,13287,13523,12931,12884,13010,12289,12426,14415,156799
12694,12406,14397,13161,12363,12742,14142,12879,12553,12338,12979,13598,156288
12003,13705,12148,13225,12285,12571,13922,12610,12867,12004,12010,13141,152527
14680,12396,12386,14385,12893,13018,12616,13491,12815,14771,12578,13163,159228
12889,13479,15529,12347,13392,13204,12254,12137,14053,12600,12568,13686,158174
13059,13556,12763,12626,13738,14505,12677,12549,12425,13318,14030,14078,159360
13722,10809,13810,14008,12355,11061,13776,13480,12009,12626,13555,13059,154306
11956,12780,13071,13446,12903,11710,13527,14040,12372,13019,12930,13635,155425
11782,13050,12880,12445,12172,12380,13860,12859,12447,12926,14082,13395,154314
11427,11213,12183,14995,14235,14343,12475,12775,14910,13089,14612,12975,159268
11854,11761,12074,12668,13213,13352,12870,13240,13080,12862,13054,12731,152795
