node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,node-26,node-27,node-28,node-29,node-30,node-31,node-32,node-33,node-34,node-35,node-36,node-37,gadget
14152,14581,13171,12026,14056,12952,13114,12913,13295,13423,12543,12578,11869,13491,12233,12060,13523,13634,14038,12556,11761,12850,12725,12720,13962,13420,13040,13087,13101,13154,13091,11854,12415,13246,13049,13560,13535,479492
,,,,,,13334,12416,13525,12789,15247,13585,12763,13232,13716,12485,12880,12266,11542,12597,13773,15409,13342,12458,13424,13328,13333,13086,14429,14279,12998,13072,12994,14105,13093,,,0
11669,12465,12015,13050,12880,12751,12546,11800,12406,12993,13227,14056,12916,14438,13375,14919,13641,12684,12522,12718,13746,13893,13323,12431,12391,14186,13240,12448,13899,14597,13200,11905,14489,12819,13512,13984,13323,462008
12490,11126,12841,13448,13280,13296,12390,12971,13299,13799,13722,11374,12208,14321,12462,13484,14426,13294,12756,13053,12766,12756,13112,12516,14116,13384,12378,12817,13017,12377,14593,13633,12731,12447,12607,13467,13950,466685
12468,12133,12751,12059,13792,11846,12337,13826,13036,12539,13243,13221,14233,13290,12215,14485,13035,13247,14195,14024,13613,13613,13745,14051,14909,13890,12626,13380,12919,13560,14459,12829,13689,13067,12950,12283,13675,421596
14067,11901,13548,13180,13510,11617,12357,12128,13467,12021,13876,12547,13762,12465,12128,12575,12113,14393,13425,12344,14978,13211,12627,12761,13344,12909,13515,15012,12847,13600,12437,13690,13238,12781,13734,14161,12713,392333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14090,12542,12468,12441,13010,11907,12834,12988,13074,12667,12053,13058,12835,14446,12814,12349,13725,13653,11915,12566,12600,12514,12281,12684,13197,11855,13898,12981,14116,11936,13206,12997,14253,12148,13045,13772,13261,477091
12670,13007,13356,12457,12334,12978,13722,13203,12139,12739,12409,11951,13748,13067,12290,13329,14832,13115,12116,13647,12658,12661,12976,14289,12892,12064,12592,11924,13672,13252,12694,12918,12809,11914,13103,13315,13056,397957
12675,12376,13790,13625,12732,12679,13035,12062,14007,12922,12955,13399,12799,13282,12121,13302,13108,12797,11905,13153,14251,13184,12860,13650,12834,12842,11859,13996,12581,13427,13862,12486,14514,13550,12780,12730,12736,418953
13066,13385,12013,12937,12513,13509,12220,13523,13389,12578,13050,13258,14198,12739,13226,14634,12893,13502,12917,12866,12660,13558,12445,13764,12850,13037,14138,13538,14315,13154,13106,12748,12540,12105,13522,11926,13053,467111
11197,11992,12789,13901,13901,13523,13558,13109,12302,13125,11792,13128,13053,13510,12488,11797,12622,13247,14208,12364,12451,13354,12957,11997,14879,13284,14815,12671,13829,12544,12855,13143,12792,13559,12827,13637,14688,479233
12372,10901,11237,12987,12242,13549,12815,13561,12885,12770,13207,13907,13236,13571,11881,12330,12802,14941,14113,13396,12746,13796,13097,13453,13368,12563,12698,13562,12956,13349,13077,12527,12884,13747,13000,13368,13950,480023
10799,13487,13074,13739,12803,12216,12625,12484,12992,14254,13751,13789,13203,13977,13455,13726,12385,12970,12143,13148,12806,14449,14034,12334,12387,13048,13876,13137,12792,13300,12873,12594,12466,12628,14387,13657,12566,323945
11964,11945,12219,13789,12572,13439,12625,13742,12737,13160,12899,12846,12323,13085,12122,12046,14264,12444,12164,13282,12277,12321,12739,13021,12899,16299,12766,13557,13665,12536,14383,14238,12661,12646,14254,12319,13285,347776
11633,12101,12467,13204,12185,14793,12101,13700,13217,12370,12876,14384,13743,12956,12792,13531,13206,12627,13564,12770,12406,12987,13694,14307,13615,13447,13289,11613,12134,12969,13042,12548,13034,13776,13099,12743,12861,472517
13263,13507,13505,12895,14707,13378,13608,12210,12837,13930,12884,12980,13650,12406,13835,14104,13908,13670,13217,13477,13445,12917,14853,11715,13590,13420,13294,13402,12586,13173,12926,13701,13984,12601,13076,12397,12505,436164
11796,12108,13376,12435,12649,12129,14381,11912,13565,12596,13469,13711,12970,10229,13246,12849,13272,12400,12283,13015,12208,13028,12680,12924,12612,12699,13168,13811,13161,13488,12651,13166,11818,12657,13252,12895,14203,392108
