node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,node-26,node-27,node-28,node-29,node-30,node-31,node-32,node-33,node-34,node-35,node-36,node-37,node-38,node-39,node-40,node-41,node-42,node-43,node-44,node-45,node-46,node-47,node-48,node-49,node-50,gadget
14095,11760,12414,14303,12620,13812,12276,13487,12983,12624,12214,13417,12801,11471,12826,12973,12516,15088,13014,12326,13055,13791,12942,13212,12230,13195,13393,13609,13374,12430,12433,13024,13452,12486,14576,12920,14276,13427,13388,13913,13163,12565,13879,13448,12547,11314,13108,15042,13794,14389,648646
13293,11792,13577,13249,13754,13251,13557,13138,12633,12012,14504,12800,12524,14459,12812,12825,13755,13482,14150,13024,12780,11591,12155,12762,13987,13098,14604,13071,11654,13268,13056,12982,13705,14112,12474,13535,13201,12828,14016,12373,13406,13382,15672,12527,12539,13471,12697,13334,12718,12306,571571
10410,12412,11999,12818,12748,13414,12658,13090,12552,12525,12180,13129,12588,12991,13587,13172,12557,12596,12642,14161,12937,12949,13018,12866,13201,12674,12764,13028,13574,12492,12491,12287,12154,13717,12878,13475,12705,13998,13265,12075,11939,12735,11965,13653,14844,13273,14795,12293,11451,12799,357564
11837,11796,11766,13476,13712,12571,13458,13116,12114,14318,12362,13360,12336,13054,13508,12076,,,,,,,,,13559,13246,11201,12430,13544,11474,13409,12577,13681,13591,12622,13141,,,,,,,,,,,,13191,11613,14355,219734
13870,12135,13586,13638,12898,12464,13360,14295,11665,14366,13660,12250,12574,14495,12969,13904,12282,13047,13000,14633,12643,13288,11957,13587,13008,12666,14305,12054,12091,13398,12993,12618,13101,12671,13472,12885,14753,12443,14038,13599,13763,12353,13464,11869,12005,13671,12507,13010,12920,11920,559589
11253,12600,11872,13334,13622,13827,12692,12941,14348,11604,13529,13522,13459,13319,12849,11764,14205,14467,13416,12255,13942,11954,13944,12543,14139,12574,12149,12580,14062,12812,13614,13267,11835,13106,13185,14089,13363,12985,13460,12750,12816,12441,11972,13551,14021,13022,11537,13040,13148,12448,564388
12581,11893,13776,13369,13220,14340,12575,13036,13733,13728,14150,13873,13018,14046,13039,13411,14030,12324,13356,12957,12441,13628,12324,12129,13479,13412,12220,12841,12624,14998,12550,13211,12211,13576,12814,13072,14352,12943,12330,14053,14236,12967,13657,13353,11799,12694,12919,12398,12095,14296,521094
14116,11949,11921,12131,13359,13619,14316,13590,14764,13808,13442,11823,14507,12776,12339,12808,12864,13735,12216,12738,14200,13133,13075,13008,13850,12821,12025,13886,12250,12914,13722,12630,12115,12415,12944,13990,13814,11915,12425,14301,12869,14606,13248,13882,14619,13094,13564,12594,14709,13111,528793
14145,12406,12412,14111,12754,14984,12046,13229,14564,12433,13521,13227,12553,13273,14143,13345,13841,13086,13902,13109,12935,12587,13121,12039,13198,12946,13530,12507,13122,12460,12841,14589,11938,12380,12887,14055,11294,12179,12551,12198,12970,13301,11978,13655,14229,12887,12270,13112,14985,12869,423053
14858,12389,13550,13004,12778,12817,14303,12528,13650,12164,13922,13317,14869,12050,13000,13054,12260,12536,13250,13447,13053,12687,13375,12749,13857,12308,12998,13829,14082,13473,15268,13265,13432,12717,11800,13000,12507,13488,13123,12899,12504,12959,14147,12529,13102,13410,13878,12393,12207,12522,433362
12329,10462,12556,13745,14178,12871,13395,13214,11417,12448,13410,12450,12854,14190,13473,13958,13781,13707,14180,11990,14526,13678,13435,13544,13252,13455,13096,13143,13117,12258,12696,13669,13294,12026,12391,11847,12411,13767,12993,12626,13314,14038,12144,12690,13465,12367,13272,14632,13487,14305,560004
13675,11547,13712,13647,13981,14637,13444,13984,13136,12546,13516,13522,12569,13126,13224,13167,12844,12955,13550,12568,13100,12329,15037,11936,12815,12125,12978,13616,12874,12220,12451,13974,12369,14017,13792,14321,12430,14339,12695,12267,12819,12618,13401,12844,13215,14540,13234,12960,12877,13045,506473
12674,12078,14147,12456,12991,12509,12489,14131,12026,12496,12478,13276,14703,14819,11771,12986,11778,14786,12888,13053,13647,13257,12625,11936,13396,12769,12990,12936,11207,12583,11808,12483,13495,14279,12308,11773,12435,13009,12787,12846,12985,14071,13390,11849,13760,12874,13015,13539,13274,12820,555094
11694,12572,13154,12710,13164,12071,12264,13208,12982,12774,12259,12596,13178,13458,12954,12311,13099,13194,12401,12946,14851,12951,14132,14630,12383,14209,13422,12835,12779,12932,13333,12301,14372,12320,13896,13035,13651,13031,12421,12891,12174,14835,12561,12644,13335,13295,13012,13330,12934,15438,559131
11067,13123,12323,12626,13074,13785,12738,13081,13426,13879,12745,13393,12737,14301,13137,14414,12288,14090,13132,12519,12875,10507,13548,12518,13119,13019,11715,13638,12504,12450,12929,12022,12931,13718,13375,12093,14036,13258,13145,12608,13123,13503,13285,14064,14952,12600,14113,13139,13428,13485,538538
11799,13587,13642,13872,13065,12778,11560,13700,13304,11719,13646,13900,12241,14009,12889,12548,12217,12921,12563,12569,13277,12383,14129,12988,12479,13322,15582,13221,13832,11638,13191,12609,13026,13124,13831,13603,14275,13128,13120,13307,13204,12415,12156,11717,12907,13307,12639,13206,13088,14289,560416
10841,11219,13205,13195,12416,13900,12195,12705,12870,14456,12577,12309,14746,12542,13577,12113,13539,12827,13346,12610,12967,12402,14492,12776,13696,11329,13133,13674,13236,13007,14366,13770,14213,12182,11908,12907,14449,13375,13353,12410,12900,12724,13022,13221,14200,14382,13138,12288,11901,12777,561295
11377,12399,13840,13287,14299,12666,13400,12882,12871,12890,13725,14646,13708,12983,12905,11923,12786,12836,11505,13826,14349,12703,12831,12565,13251,12398,11760,13930,12412,14257,13501,12438,13726,14014,10729,14721,11029,13912,13849,13290,13916,12851,12964,14099,11699,12434,13133,12493,14656,13198,401378
12552,14136,13316,13102,12924,12165,12915,13407,12795,12078,13128,12411,12198,13087,14300,13776,13933,12010,12117,13843,13056,12705,12784,12611,13320,12757,13474,15013,12850,12374,13540,11838,13381,13577,14132,15150,12555,13023,12887,12288,12041,13458,13385,13797,14768,13047,12911,13430,13999,12525,378932
11543,12819,13097,12960,12869,12853,14651,12654,13537,14251,12818,12062,13460,14312,12344,13033,13888,12508,12711,12188,13392,12862,12869,13415,13040,13594,12714,12738,14079,12702,12571,12343,12922,13310,12084,12358,13726,12757,13566,13622,13451,12940,13248,13471,12735,13454,14631,12680,12776,11863,574697
11174,12307,12866,14066,12341,12826,13823,12469,12397,13822,13517,13669,12235,12009,13963,14078,12999,13741,12773,12813,13317,11889,12937,14997,12590,14054,13413,11579,12315,13033,13868,12385,14001,13955,12668,13316,13360,13333,13200,12972,13781,12958,12692,14109,13781,12627,14298,14378,12970,13219,529559
12092,11677,11825,14401,12923,13224,13252,12034,13591,13156,13426,12642,13068,12981,13075,12807,12303,13537,11637,13539,13632,13057,13218,13258,14317,14930,12621,12797,12416,12930,11394,12414,13377,13045,12880,11733,12752,13337,13857,13694,13291,13935,11970,14380,12537,13060,12485,13240,14972,12722,450823
