node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,
129536000,128589824,121708544,130387968,95473664,101556224,134692864,131710976,113111040,93917184,125161472,131661824,
117395456,121049088,123322368,134623232,109559808,135659520,103649280,135720960,97787904,102318080,107126784,136298496,
137629696,99713024,127627264,125988864,105598976,106102784,113532928,123711488,135278592,107655168,108728320,126107648,
102211584,130453504,136245248,107118592,132112384,136380416,107438080,101806080,110379008,132489216,100139008,126435328,
106467328,135790592,103960576,108589056,107024384,104521728,109998080,105803776,136384512,136183808,106135552,131252224,
120815616,118132736,106156032,98844672,136810496,131760128,136511488,93364224,106872832,137121792,135970816,130887680,
100499456,132169728,105836544,135475200,104185856,107020288,127344640,111845376,129769472,99598336,109182976,104452096,
105385984,102023168,136753152,126889984,132464640,108130304,106672128,132427776,121843712,121008128,135086080,105754624,
103940096,133025792,107147264,102305792,101609472,109309952,131629056,136429568,136527872,107331584,108015616,106049536,
102285312,131854336,104472576,131289088,118550528,111681536,121217024,98131968,105373696,137510912,105017344,101019648,
120512512,132747264,123428864,135127040,125145088,103227392,132534272,112037888,131641344,107630592,108498944,137551872,
122118144,106618880,102756352,106696704,129093632,124932096,108085248,97865728,109973504,130248704,104263680,105132032,
126521344,132198400,123596800,107220992,137011200,131440640,130461696,104501248,108417024,136359936,105025536,104812544,
113160192,110428160,104361984,104083456,105762816,105443328,105197568,112779264,106397696,108752896,128352256,109711360,
130969600,93052928,104697856,106090496,112672768,107122688,106090496,96391168,104685568,98881536,108019712,103858176,
111038464,132145152,107749376,106074112,126189568,105943040,94244864,130531328,105832448,132956160,108281856,101441536,
107507712,102449152,130899968,128684032,130842624,135573504,103616512,131117056,130867200,131788800,105304064,102383616,
101535744,104833024,133083136,104181760,109883392,110006272,107147264,108617728,121143296,130613248,106459136,104468480,
104194048,126136320,136708096,104579072,104140800,121319424,131543040,104251392,131248128,109215744,132972544,123297792,
112660480,120979456,135127040,130822144,137240576,107945984,136847360,135155712,106123264,104919040,103079936,137433088,
129998848,132104192,106475520,122462208,126234624,123367424,136359936,128409600,98725888,127975424,98791424,122277888,
103882752,132419584,96567296,100065280,130252800,108335104,136945664,137129984,109772800,131137536,103120896,105365504,
125358080,105295872,131555328,102658048,107085824,117362688,106754048,101888000,105865216,109846528,135725056,136392704,
142233600,98672640,131895296,103849984,123498496,101462016,105897984,131969024,110211072,109441024,130838528,102694912,
106741760,97837056,109891584,102424576,130633728,108634112,109527040,105279488,129646592,105803776,109744128,107692032,
120946688,140427264,126857216,109228032,120532992,113221632,133939200,99061760,99553280,136896512,136527872,105549824,
120569856,134008832,103825408,135303168,104779776,135278592,136278016,131137536,107442176,101081088,136851456,132411392,
101785600,126107648,135016448,129605632,122916864,95117312,131674112,122957824,131887104,134082560,107139072,104488960,
120872960,139038720,101867520,137093120,131923968,102113280,108331008,106000384,131272704,135950336,137793536,106340352,
112549888,124280832,102858752,136937472,108183552,106528768,110436352,135081984,134750208,107036672,102531072,99151872,
