node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,
133001216,133566464,107454464,108646400,107929600,112123904,135266304,108089344,110866432,137654272,116387840,127660032,135909376,106020864,134111232,108531712,96038912,101916672,102301696,104292352,100876288,111345664,124325888,107372544,137842688,
130457600,136519680,132603904,117178368,111210496,123551744,109580288,107282432,107196416,133185536,128344064,104402944,133795840,137191424,132493312,110739456,112455680,133136384,107880448,113328128,133382144,105439232,111190016,141578240,95350784,
107134976,117174272,133713920,103739392,108146688,108765184,133148672,131182592,131125248,105762816,110084096,135356416,131928064,94146560,107819008,110260224,132456448,106381312,112340992,129990656,104976384,109551616,107503616,113795072,114524160,
106373120,113623040,127447040,112861184,112009216,125005824,119394304,126365696,110542848,106582016,112648192,136093696,109289472,122818560,105705472,132956160,113610752,128430080,113430528,106905600,123080704,104554496,141570048,109830144,101330944,
112119808,114032640,117456896,104050688,133840896,110727168,107229184,108896256,109031424,106573824,108589056,133804032,106582016,133943296,108531712,130908160,131137536,131854336,106442752,113127424,135024640,110407680,107864064,107368448,107671552,
110489600,128565248,110403584,134332416,106319872,109621248,105832448,133042176,134479872,131747840,134213632,129486848,109764608,131715072,109498368,129814528,110944256,110039040,110219264,105418752,110075904,105189376,110243840,137756672,136486912,
110166016,89776128,125784064,110329856,108392448,107569152,106102784,99328000,111964160,127582208,126320640,101347328,134152192,133885952,113983488,107630592,130588672,107069440,130953216,130072576,110419968,107909120,132657152,137752576,134270976,
110411776,107470848,130715648,110960640,105086976,108032000,118890496,105570304,107511808,107843584,133083136,106840064,98263040,103837696,112087040,128233472,107859968,139132928,110235648,109740032,113381376,133296128,115085312,102293504,135307264,
116453376,108658688,101773312,109789184,120647680,118468608,116899840,106590208,129982464,108244992,123355136,123183104,107347968,125579264,112242688,115658752,108138496,105545728,108158976,95567872,109617152,111009792,109932544,96673792,121106432,
109359104,130027520,109961216,107573248,118829056,126943232,115085312,126939136,133193728,109555712,112820224,129789952,107708416,138600448,127152128,112472064,109363200,107544576,106786816,113614848,106512384,109973504,107474944,131133440,127971328,
118689792,98340864,107188224,97574912,137261056,110166016,133087232,128634880,125583360,126070784,102498304,109408256,108277760,105852928,133931008,110030848,105775104,113483776,130846720,107761664,135294976,124108800,141692928,110690304,115343360,
98598912,109830144,118620160,125517824,128028672,109940736,139182080,110096384,104878080,111636480,132911104,103981056,111796224,108576768,107761664,125718528,109219840,128270336,136196096,112193536,102981632,135913472,110600192,96665600,111915008,
136282112,109465600,121556992,109481984,113889280,101101568,115535872,132902912,107495424,105816064,111845376,111783936,138801152,123576320,134086656,104873984,111087616,111906816,128380928,105660416,105885696,128442368,124571648,100036608,107536384,
104566784,105762816,107524096,107188224,105005056,132931584,110944256,110067712,132341760,109293568,128114688,115355648,128917504,130244608,112058368,105975808,137302016,138039296,105136128,132890624,124555264,106545152,132100096,134828032,122896384,
104079360,121446400,128221184,111902720,110702592,128692224,109318144,106610688,140431360,113111040,107925504,139665408,109703168,102719488,92450816,128684032,95010816,110485504,129753088,111505408,106356736,138448896,97677312,95195136,103608320,
103276544,127836160,109367296,132165632,108412928,104562688,109780992,133701632,125890560,138547200,128552960,130519040,105025536,106913792,112300032,99442688,105570304,110862336,107524096,107778048,138399744,110841856,110153728,109039616,108277760,
109379584,116756480,108990464,107626496,128585728,108658688,110907392,108015616,116461568,134078464,133287936,107642880,108044288,100999168,133898240,125845504,133967872,106201088,110346240,125423616,113684480,126451712,96980992,106020864,107659264,
130478080,109305856,134111232,115286016,112611328,100745216,109207552,133083136,136323072,129478656,110362624,109654016,123736064,126795776,95260672,129437696,113569792,127520768,139145216,109404160,131788800,101699584,124116992,107806720,129036288,
109789184,129200128,139747328,134283264,106807296,112947200,109527040,109928448,107483136,125894656,133857280,109744128,110305280,121159680,105312256,126615552,127176704,112521216,130514944,98832384,116412416,104370176,132136960,112029696,132313088,
105201664,113041408,107982848,105111552,123817984,107327488,128503808,131940352,129019904,105820160,107036672,112746496,110538752,132669440,105664512,110583808,131522560,113131520,114126848,130285568,107872256,113614848,111173632,112635904,129175552,
