node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,node-26,node-27,node-28,node-29,node-30,node-31,node-32,node-33,node-34,node-35,node-36,node-37,
116006912,110948352,111853568,143544320,112484352,106156032,107237376,130830336,103747584,130134016,99512320,105906176,108847104,135389184,97755136,113307648,110292992,112726016,134668288,108593152,132169728,106995712,117301248,135905280,152940544,113979392,107040768,116649984,134848512,107450368,115867648,133869568,109092864,122716160,118292480,112783360,109895680,
111013888,125894656,128032768,,124887040,96874496,111427584,101691392,127037440,119382016,132935680,123826176,125755392,121880576,118857728,106377216,119611392,116355072,134103040,130162688,99278848,116051968,134119424,118788096,134127616,121204736,99930112,124059648,108498944,114569216,101183488,100696064,129654784,129892352,125460480,130420736,98598912,
117374976,130781184,136306688,130162688,111939584,111558656,98062336,135385088,135933952,136265728,105975808,126201856,108126208,105328640,107741184,109076480,136925184,115621888,105562112,116625408,129388544,110092288,105353216,103960576,138924032,119930880,107282432,132202496,135364608,104792064,117592064,109568000,140541952,118976512,105816064,107995136,124796928,
144154624,126214144,135884800,98377728,129585152,97632256,133586944,114950144,102785024,109494272,109670400,103735296,107802624,104939520,112259072,97378304,111325184,112521216,103333888,112295936,112881664,107294720,98549760,116359168,93495296,135032832,90202112,107929600,132628480,128315392,108150784,110977024,109961216,108711936,112369664,109383680,109678592,
119021568,122810368,134062080,111177728,111923200,112074752,111292416,119132160,108113920,131448832,130674688,112197632,131305472,114102272,138657792,136093696,140877824,108490752,108240896,113262592,112508928,134156288,135098368,114671616,118751232,113901568,114642944,126005248,110055424,115621888,110354432,107347968,114618368,112164864,134873088,113864704,103378944,
102113280,111931392,109527040,112435200,96858112,106905600,102735872,110018560,118898688,131686400,130699264,131313664,107016192,104325120,109989888,140918784,128589824,114647040,139210752,130596864,134844416,129044480,130838528,113160192,135135232,134078464,104341504,111202304,113950720,134447104,118353920,112459776,111546368,134856704,109785088,111628288,121167872,
129941504,118796288,102719488,139833344,123596800,125771776,118517760,122568704,119738368,118059008,121352192,108957696,134877184,105975808,106704896,108175360,116002816,124096512,133562368,108711936,128745472,114262016,108347392,141127680,124375040,124870656,131518464,122376192,119447552,94535680,120913920,120578048,134512640,117116928,127590400,103079936,130347008,
116695040,110972928,106856448,112144384,117010432,98869248,111480832,96804864,130367488,104353792,128802816,137592832,105500672,107347968,107319296,104398848,135462912,106766336,96317440,105525248,108011520,112308224,130621440,109158400,134795264,130940928,137465856,117919744,98320384,135802880,106065920,142729216,118067200,112754688,119353344,107552768,108277760,
116912128,114257920,104656896,136024064,109740032,107614208,135131136,106807296,108929024,105566208,126185472,113057792,111783936,105381888,130314240,136220672,97308672,112476160,108408832,114184192,99491840,109846528,125394944,113848320,106512384,111017984,108068864,108175360,134717440,110141440,112914432,108015616,119013376,106213376,109707264,115101696,111984640,
129302528,113930240,129667072,124542976,134406144,113123328,107859968,105132032,113893376,106987520,144588800,140206080,106676224,109510656,112365568,131366912,136044544,113659904,128536576,108986368,105709568,134225920,111050752,107167744,137854976,106876928,109219840,95170560,116269056,116416512,132673536,111132672,108429312,110665728,106655744,106422272,117055488,
113360896,114991104,112123904,106876928,107593728,133685248,105840640,107233280,130453504,111869952,110444544,127971328,107675648,105058304,132968448,107352064,115363840,108486656,111845376,128704512,110669824,116920320,107847680,112992256,110821376,118874112,111767552,139931648,109862912,137379840,113414144,111603712,109568000,110157824,142065664,135008256,114688000,
132653056,108261376,115433472,113635328,135610368,131276800,109649920,125779968,109756416,125673472,128942080,132308992,130269184,129957888,132853760,103940096,131375104,130838528,112689152,110387200,107274240,116125696,129040384,134037504,113233920,135557120,114245632,104484864,136548352,118181888,133074944,98361344,110604288,113086464,104919040,103370752,110723072,
109432832,121282560,135356416,117530624,108425216,107167744,109740032,110149632,131321856,111824896,111521792,108642304,130945024,106328064,133386240,104448000,108232704,136450048,93659136,126869504,135303168,110239744,107540480,109568000,120016896,133476352,107864064,118710272,135086080,104239104,107671552,112119808,110456832,110993408,106283008,108679168,118132736,
115855360,130256896,105590784,110297088,105316352,107999232,100933632,106242048,115191808,107577344,128110592,104013824,110436352,125812736,97378304,117682176,107986944,124477440,124493824,135376896,110665728,100364288,110362624,129163264,111366144,131969024,127774720,107769856,112779264,130220032,132276224,108957696,110096384,109408256,107765760,108064768,137617408,
104648704,113774592,111104000,108978176,126361600,107520000,111161344,112791552,109518848,111570944,108965888,136974336,103882752,127545344,124641280,96784384,111431680,111546368,109060096,109551616,109273088,107728896,130109440,108404736,111112192,112312320,111595520,112406528,114401280,130707456,111091712,118861824,105361408,107216896,113004544,131952640,135553024,
139800576,121552896,112582656,109412352,108859392,108003328,130326528,111828992,137056256,124928000,135430144,135684096,109907968,103739392,132546560,128995328,112988160,106246144,107634688,109121536,127885312,111271936,104861696,112758784,101568512,117207040,103591936,110014464,122609664,121114624,108933120,115728384,120356864,111099904,140607488,137437184,137388032,
94330880,108580864,137449472,130289664,128188416,135696384,122871808,136757248,107446272,109846528,127266816,116080640,105955328,110182400,112861184,113213440,111226880,105500672,129757184,130609152,107413504,134950912,117846016,132026368,106967040,136265728,112787456,128565248,110063616,109977600,113750016,109936640,107077632,110116864,116748288,113311744,131592192,
119410688,108044288,110546944,110718976,115793920,106127360,135524352,111394816,115425280,126066688,132820992,107175936,107700224,108523520,112947200,107765760,104767488,129351680,107954176,130588672,130215936,128618496,107106304,109481984,111693824,107311104,101298176,105054208,117448704,111759360,120168448,130732032,132456448,106176512,131211264,109166592,108843008,
96870400,109862912,128696320,132124672,111157248,124870656,114229248,130490368,114962432,114212864,114405376,129060864,106512384,133472256,109481984,107044864,109838336,114745344,108568576,132722688,109834240,130764800,129597440,108675072,121757696,109789184,135380992,102375424,113549312,135593984,133160960,115277824,115224576,133353472,120827904,135671808,110202880,
103993344,107646976,112017408,109174784,100573184,127131648,113270784,112095232,107888640,130412544,119816192,104349696,135720960,112226304,107196416,135106560,123781120,110632960,113537024,111800320,114221056,84967424,132460544,109953024,132726784,96190464,114810880,141983744,109535232,109289472,112517120,113995776,108068864,106217472,115380224,138690560,143298560,
134029312,101240832,128253952,131891200,109051904,129380352,109297664,130723840,132239360,132599808,128032768,111722496,131670016,107790336,130535424,118226944,132644864,116391936,129617920,109174784,105914368,142286848,105795584,113709056,129376256,133083136,114249728,134529024,106676224,137428992,115224576,117764096,117477376,109248512,135327744,114991104,112586752,
116260864,110710784,109436928,125157376,130371584,130048000,107560960,111091712,128389120,109473792,113909760,111235072,110252032,116244480,111235072,117727232,128249856,113700864,107110400,117944320,120057856,105807872,110022656,112189440,107167744,115273728,106631168,107368448,105517056,108392448,109395968,107696128,138960896,109518848,117092352,105926656,114737152,
108867584,122634240,116543488,104853504,137539584,129970176,110395392,131801088,109719552,105783296,111808512,108593152,122916864,102834176,134668288,134103040,129286144,107446272,92725248,136445952,111493120,132431872,120053760,96882688,115441664,114061312,103464960,110215168,114040832,108961792,111300608,99852288,136650752,104878080,115408896,107700224,116785152,
120766464,130494464,112336896,110882816,109244416,110354432,129548288,104001536,106586112,94887936,115269632,99598336,109170688,128667648,113926144,118263808,97947648,130252800,126951424,128815104,110096384,110882816,119726080,108331008,134766592,131239936,96133120,132841472,115740672,106618880,115761152,112898048,136257536,105603072,111472640,107110400,109961216,
130940928,141254656,110432256,128077824,101588992,112054272,115961856,128733184,130228224,108261376,90513408,112029696,154566656,117854208,135323648,106409984,100003840,107024384,109105152,114688000,108920832,109395968,132427776,109334528,118837248,105500672,138530816,128507904,132706304,114466816,110612480,126050304,127766528,107413504,115400704,115736576,109924352,
108994560,113397760,111742976,109629440,128786432,110874624,107732992,110284800,106541056,114475008,112222208,109592576,111845376,131940352,137195520,135958528,135520256,113238016,109690880,107655168,105771008,126476288,106496000,116486144,105861120,111742976,115011584,112345088,118644736,110268416,135004160,129105920,102891520,109465600,132198400,113131520,108445696,
111448064,107642880,130605056,115130368,141594624,111898624,132083712,113442816,135786496,111411200,130723840,127492096,128720896,107163648,109625344,109404160,107462656,151703552,129101824,131764224,135303168,88805376,110137344,109449216,101306368,133050368,117092352,109682688,101122048,109449216,118276096,110428160,105918464,120995840,137785344,108310528,107769856,
130809856,124706816,114622464,136638464,112545792,125558784,108732416,109756416,126955520,118153216,124067840,135180288,114044928,130232320,122576896,117702656,110137344,111599616,114298880,113569792,101257216,107384832,104284160,134438912,130568192,135327744,109826048,114204672,107323392,105316352,121430016,109572096,96980992,109318144,120852480,109461504,109854720,
109637632,122744832,130596864,111169536,117321728,131489792,109088768,104267776,108023808,135254016,127610880,107683840,106897408,109027328,111976448,133439488,125067264,104718336,136749056,105971712,111661056,135663616,111173632,118140928,114450432,134590464,119132160,114176000,107630592,111595520,98459648,112123904,100474880,133427200,114692096,107331584,119087104,
118083584,109580288,109682688,112459776,136495104,127889408,115785728,122331136,130887680,114737152,133709824,98160640,135106560,133189632,111173632,108683264,110211072,130506752,99303424,105418752,130473984,130752512,131629056,87900160,113037312,110272512,112537600,105103360,112218112,109731840,109506560,137928704,109387776,123420672,135708672,138825728,107307008,
